index,Login Timestamp,Username,User ID,IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover
1,2025-06-02 00:00:22.958,user_eaf224,-9081990751822107716,46.212.34.208,NO,Oslo County,Oslo,41164,"Mozilla/5.0  (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.22.81 Safari/537.36",Chrome 69.0.3497.17.22,Chromecast 1.36.159268,desktop,True,False,False
2,2025-06-02 00:08:18.098,user_6c24cf,655967908128491747,45.13.242.7,NO,-,-,29695,"Mozilla/5.0  (Linux; U; Android 5.4.3; en-us; GT-I9060 Build/JDQ39) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/69385",Android 2.3.3.2660,Android 5.4.3,mobile,True,False,False
3,2025-06-02 00:09:12.904,user_35924a,-602929497224448488,10.0.64.186,NO,Møre og Romsdal,Fosnavag,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1925.138 Mobile Safari/537.36 OPT/2.4",Chrome Mobile 81.0.4044.1925,iOS 13.4,mobile,True,False,False
4,2025-06-02 00:15:31.601,user_3c1fac,1595739281232346896,77.222.214.25,NO,Troms og Finnmark,Alta,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1928.111 Mobile Safari/537.36,gzip(gfe,gzip(gfe variation/222762",Chrome Mobile 81.0.4044.1928,iOS 13.4,mobile,False,False,False
5,2025-06-02 00:19:54.843,user_ec3cdd,6257035908712866724,91.186.5.48,GB,-,-,29550,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/79.0.3945.192.194.130 Safari/537.36 RuxitSynthetic/1.0 v5043457830 t8347097904287973985",Chrome 79.0.3945.192.194,Chrome OS 5978.98.0,desktop,True,False,False
6,2025-06-02 00:21:34.329,user_8421a6,-2153373345281138399,170.39.77.137,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1925.117 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1925,Android 4.1,mobile,False,False,False
7,2025-06-02 00:23:35.656,user_cca0ed,1934635222922758987,23.137.224.214,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/60.0.3112.116 Mobile Safari/537.36 SamsungBrowser/CrossApp/0.1.88",Chrome Mobile WebView 60.0.3112,Android 4.1,mobile,True,False,False
8,2025-06-02 00:40:52.421,user_13875b,-8766031192925120248,23.137.224.175,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.117 Mobile Safari/537.36,gzip(gfe,gzip(gfe",Chrome Mobile 81.0.4044,iOS 13.4,mobile,False,False,False
9,2025-06-02 00:41:13.704,user_a555c0,-5938581395426970069,37.143.48.8,NO,-,-,29492,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",Opera Mobile 52.1.2254,Android 13.0,mobile,False,False,False
10,2025-06-02 00:44:44.620,user_66b701,-6603295077638594400,192.165.250.134,NO,-,-,50989,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1928.26 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1928,iOS 13.4,mobile,False,False,False
11,2025-06-02 00:46:39.064,user_67cdf1,4230544980004899911,156.52.117.73,NO,Viken,Fredrikstad,29695,"Mozilla/5.0  (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3654.0 Safari/537.36",Chrome 73.0.3654,Mac OS X 10.14.6,desktop,True,False,False
12,2025-06-02 00:49:26.581,user_6fb6d1,-4667749433948198454,80.203.219.164,NO,Viken,Hokksund,15659,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Plus AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1925.114 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1925,iOS 13.4,mobile,True,False,False
13,2025-06-02 00:50:49.352,user_0f5c3b,8535209758812128895,209.236.117.213,US,-,-,393398,Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20100101 Firefox/20.0 variation/245227,Firefox 20.0,iOS 13.4,mobile,True,True,False
14,2025-06-02 00:52:01.669,user_f8c5c1,1638836664202988406,84.209.78.148,NO,Oslo County,Oslo,41164,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.80.121 Safari/537.36",Chrome 72.0.3626.80,Mac OS X 10.14.6,desktop,False,False,False
15,2025-06-02 00:59:09.796,user_699381,5712598038464823800,10.0.80.212,PL,Greater Poland,Brzeziny,205727,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.26 Mobile Safari/537.36 variation/97001",Chrome Mobile 81.0.4044,Android 6.0.99,mobile,False,False,False
16,2025-06-02 01:06:20.882,user_59b3c1,9206360809835916826,209.236.125.201,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1926.117 Mobile Safari/537.36 PHX/5.0 variation/217618",Chrome Mobile 81.0.4044.1926,iOS 13.4,mobile,False,True,False
17,2025-06-02 01:07:09.405,user_015772,1591123287613308917,37.191.163.223,NO,Oslo County,Oslo,57963,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.20.100 Safari/537.36",Chrome 69.0.3497.17.20,Mac OS X 10.14.6,desktop,True,False,False
18,2025-06-02 01:12:48.187,user_333957,5324366459520593528,209.236.117.190,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1934.138 Mobile Safari/537.36 PHX/6.6",Chrome Mobile 81.0.4044.1934,iOS 13.4,mobile,False,True,False
19,2025-06-02 01:19:39.970,user_0afaab,-2100870079562791662,10.0.77.158,NO,Vestland,Loddefjord,29695,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.24.92 Safari/537.36",Chrome 69.0.3497.17.24,Mac OS X 10.14.6,desktop,True,False,False
20,2025-06-02 01:19:58.959,user_4920c7,-347551322675437252,23.137.224.222,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1930.138 Mobile Safari/537.36 variation/168914",Chrome Mobile 81.0.4044.1930,iOS 11.2.6,mobile,True,False,False
21,2025-06-02 01:20:18.249,user_dd429f,-7560731526184962526,80.202.5.103,NO,-,-,15659,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.77.119 Safari/537.36",Chrome 72.0.3626.77,Mac OS X 10.14.6,desktop,False,False,False
22,2025-06-02 01:31:22.535,user_53b23c,-5186852668467511735,5.149.122.112,UA,-,-,28907,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",Opera Mobile 52.1.2254,Android 13.0,mobile,True,False,False
23,2025-06-02 01:34:25.459,user_f8581f,887422031208007253,46.228.80.2,PL,Greater Poland,Poznan,13110,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.22.42 Safari/537.36",Chrome 69.0.3497.17.22,Chrome OS 5978.98.0,desktop,True,False,False
24,2025-06-02 01:35:06.128,user_63503a,4891454031098208683,152.93.180.144,NO,-,-,29695,"Mozilla/5.0101097241 Mozilla/5.0  (X11; CrOS x86_64 13778.0.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.24.81 Safari/537.36",Chrome 69.0.3497.17.24,Chrome OS 13778.0.0,desktop,True,False,False
25,2025-06-02 01:35:49.882,user_d9cb6d,2114345140378960221,78.91.49.206,NO,-,-,224,Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20081407 Firefox/20.0.0.1604 variation/246871,Firefox 20.0.0.1604,iOS 13.4,mobile,True,False,False
