bedrooms,sqft,age_years,price
4,2134,45,168214
3,2071,14,167026
5,2809,21,274834
4,2249,44,180527
2,1333,69,60000
6,3336,41,304067
4,2474,54,180309
4,2070,52,172139
2,1100,27,100392
3,2116,28,195738
3,1737,42,155354
5,2446,3,311892
4,2431,69,160360
5,2916,62,228402
3,1457,30,161341
3,1897,37,165688
4,2504,33,209486
2,1454,65,60000
5,2958,76,184476
4,1969,10,247401
4,2403,41,220007
3,1764,1,203399
6,3159,45,338723
5,3018,25,279731
4,2690,33,231012
2,1809,46,95688
3,2169,32,169721
1,853,39,60000
2,1448,77,60000
4,2512,81,164019
4,2350,0,289416
6,3313,38,325791
3,2046,85,100880
3,1825,53,120598
3,1658,20,187939
2,1256,59,60000
2,1518,14,153310
3,1841,2,241185
3,1925,63,116794
4,2488,52,161312
3,1746,76,86429
5,2989,34,297203
4,2415,86,149671
3,1531,42,144009
5,3161,74,238155
5,2675,10,314142
3,1426,9,205416
3,1579,79,99766
4,2065,84,158451
2,1373,95,60000
2,1292,32,117879
1,796,2,87293
4,2475,98,115853
4,2405,60,205727
4,2399,24,237218
4,2422,77,167123
3,1994,91,80206
4,1793,28,204027
2,1269,77,60000
2,815,79,60000
4,2329,50,201554
3,1839,63,90803
4,2581,27,230796
4,2617,93,162659
4,2371,99,117568
4,2195,99,89368
4,2441,74,188421
3,1708,4,211936
1,880,37,60000
3,2087,44,145604
3,1701,96,79760
3,2041,55,125395
5,2969,54,265449
3,1601,14,192158
2,1603,80,60000
3,2015,33,168058
3,1865,9,195500
4,2129,99,130410
4,2105,19,221145
4,2186,1,238821
4,2456,7,270117
3,1601,45,146994
5,2909,10,319929
2,1050,85,60000
1,829,51,60000
2,1387,32,118487
4,2931,0,282592
3,1496,48,123093
2,1728,15,136022
4,2357,98,152235
2,1463,29,87050
4,2350,47,205747
3,1951,1,187088
3,1802,13,188926
3,2204,20,183596
4,2206,5,226375
3,2123,73,114411
2,1199,95,60000
2,1345,99,60000
6,3012,26,348894
5,2914,79,230875
4,2681,50,224377
3,1821,4,209909
6,3231,9,367966
4,2041,55,198447
4,2263,42,228811
3,1442,0,218054
3,1612,93,60000
2,1417,73,60000
5,3130,50,264843
3,2542,99,60000
3,1693,98,67365
3,2199,98,107070
4,2381,26,240124
2,1322,88,60000
5,2908,50,255444
4,2335,73,157777
4,2348,86,145419
3,1738,16,172213
4,1970,45,177293
4,1934,13,257845
4,2483,28,250660
2,1291,41,75908
3,1691,86,92795
1,882,87,60000
3,2039,39,162572
3,1885,33,169528
2,1196,53,85315
2,1667,92,60000
4,2715,98,152027
2,1484,22,128741
5,3043,18,313438
4,2630,71,156751
3,2123,30,205455
4,2474,20,248897
1,1030,3,106945
6,3410,40,301127
3,1566,39,133309
4,2495,56,206943
2,1021,20,119828
3,1641,72,69318
3,2166,68,132724
5,3010,46,253093
4,2692,18,271470
3,1772,51,131482
3,1552,68,104871
3,1780,37,171684
4,2346,26,216188
3,1860,51,120107
1,1163,35,60000
5,2710,40,275158
5,2888,35,254737
2,1113,30,77804
4,2433,72,175181
2,1361,46,75980
4,2133,47,186942
3,1781,65,84173
4,2274,36,202665
4,2252,10,251186
4,2763,86,164031
2,1335,5,134307
5,2739,57,262836
3,1316,26,148632
1,656,21,60000
4,2254,4,283410
3,1669,90,74897
5,3145,43,260845
5,2759,34,270648
3,2162,74,128346
6,3295,3,399868
3,1849,57,113473
4,2298,49,193313
3,1841,55,129877
5,3230,12,302956
2,780,96,60000
1,500,24,60000
3,1704,68,122703
6,3284,75,287711
5,2973,34,273387
4,2438,13,248241
5,2704,29,289064
5,3055,81,201097
4,2578,91,146780
3,1886,94,69831
4,2561,22,226484
4,2388,61,163847
3,1700,15,206706
2,1534,71,60000
4,2348,42,230305
3,1840,72,95295
5,3168,69,235068
3,1227,100,81565
2,1006,49,60000
5,2503,34,238108
2,1269,53,91524
2,1296,16,115998
4,1943,11,241764
5,2554,52,232061
2,1145,83,60000
3,2454,53,132592
4,2770,78,159551
6,3177,17,360672
4,2229,45,183100
2,1073,61,60000
1,500,35,60000
3,1811,1,187343
2,1111,7,130937
4,2299,93,129757
2,960,61,60000
4,2130,26,220179
4,2357,26,229626
4,2412,3,255964
2,1464,95,60000
5,2470,10,323290
4,2534,76,152384
4,2120,24,234278
2,1518,33,104856
2,1357,27,118907
5,2456,83,215387
3,1761,3,212155
3,1931,35,134174
3,1993,28,179635
4,2285,27,245118
6,3663,19,359751
3,2092,92,94235
5,2736,38,256048
1,1068,42,60000
4,2803,38,225193
4,2810,99,105403
2,1053,34,91728
2,1128,34,116503
3,2211,33,142129
6,3015,33,306683
4,1989,9,230745
5,2678,61,229500
5,2905,2,319139
3,1814,22,198337
4,2157,20,248240
1,711,29,60000
2,1182,76,60000
5,2580,60,235398
4,2890,100,119320
3,1914,35,173208
4,2542,93,117369
4,2198,4,271481
5,2754,50,266642
4,2142,80,146713
3,1177,53,112282
3,1495,94,67380
3,1387,31,110252
4,1758,3,253984
5,2501,78,198825
3,2171,6,209516
3,1829,77,105823
3,2163,74,106953
4,2423,85,125972
5,2996,48,255779
2,1135,90,60000
2,1491,17,133499
4,2502,43,210479
2,1216,12,147991
5,2940,77,196709
3,1982,72,109186
2,1223,81,60000
5,2519,77,176456
2,1064,31,102795
3,1862,6,193769
2,1442,93,60000
2,1162,49,61978
1,887,9,81132
2,1503,93,60000
2,1515,100,60000
2,1748,44,80156
4,2639,77,140946
4,2070,3,283161
3,2261,9,201090
3,1707,27,166790
4,2581,66,169483
5,2817,13,291759
5,2697,3,314398
1,500,67,60000
2,1317,77,60000
3,1450,74,77456
3,2082,80,106764
4,2699,81,143502
3,1641,60,89379
1,955,52,60000
