bedrooms,sqft,age_years,price
3,1505,33,153743
5,3020,61,237124
4,2357,26,229626
4,1766,77,125970
6,3636,29,325242
1,724,75,60000
4,2330,59,182023
3,,53,132592
4,,24,234278
2,1203,79,60000
1,915,63,60000
5,2951,71,
2,939,9,123037
4,2085,100,95050
1,945,44,60000
5,2901,93,233918
5,2356,27,267798
4,2314,93,120343
5,2796,0,328540
4,1905,9,255654
3,2102,75,104127
2,1021,20,119828
5,2996,48,255779
4,2299,93,129757
4,2175,79,145524
2,1640,10,151927
3,1387,31,110252
5,2470,10,323290
3,1785,76,110141
3,1763,38,140814
3,1686,78,115217
6,3410,40,301127
2,815,79,60000
4,2393,56,197523
1,500,67,60000
4,2029,7,243107
3,2057,5,227351
2,1210,90,60000
2,780,96,60000
4,1968,59,"$158,437"
4,1965,84,160518
6,3378,10,355694
2,1826,48,101323
4,2222,60,161536
5,2790,75,209748
3,1701,96,79760
5,2640,78,233113
3,2123,73,114411
3,1737,42,155354
6,3168,66,296385
5,2273,44,255539
3,1639,21,161952
1,955,52,60000
4,2681,50,224377
4,2567,70,
2,1411,58,60000
2,1339,70,60486
4,2354,67,"$178,499"
4,2350,0,289416
3,2059,60,111007
2,1418,80,60763
3,1865,9,195500
1,1109,72,60000
4,2399,24,237218
5,3018,25,279731
5,3153,53,242239
3,2397,89,106743
3,2163,74,106953
5,2754,61,226392
2,1399,56,61653
4,2373,49,166220
3,1888,17,197932
4,2252,10,251186
4,2323,76,125791
1,1609,87,60000
1,933,98,60000
3,2171,65,157628
2,1652,74,60000
4,2417,49,195216
3,1921,56,152815
1,678,93,60000
2,1451,90,60000
4,2488,52,"$161,312"
4,2164,27,213189
2,1603,71,60000
4,2054,87,126662
3,2421,77,131349
4,2441,74,188421
4,2032,71,157630
3,1708,4,211936
2,1226,52,73240
5,2905,2,319139
4,2403,49,189294
3,1612,93,60000
2,821,33,
4,2498,21,261706
3,1826,57,115174
5,2833,71,238060
1,500,27,60000
4,2284,91,120888
4,2198,4,271481
3,2238,52,130588
3,1680,79,99962
1,698,-53,60000
2,1728,15,136022
4,2617,93,162659
3,2008,95,60000
5,2713,16,294931
3,2261,9,201090
4,2433,92,123152
5,2580,100,182447
3,1810,3,192892
4,2130,26,220179
5,3130,50,264843
4,2581,66,"$169,483"
4,2561,22,226484
4,2166,22,217225
40,2172,29,245440
3,1933,18,178195
4,1928,89,137234
3,1864,68,104487
1,948,90,60000
4,2328,72,167520
3,1676,81,89274
6,3177,17,360672
3,1674,7,180972
4,2218,5,249205
4,2931,0,282592
4,1952,8,236755
3,2341,50,133362
2,1317,77,
3,1734,98,60000
4,2414,30,229525
3,2321,85,110780
3,1934,77,96935
3,1746,88,89987
5,3194,20,319391
5,2986,54,237820
5,,30,254877
4,2343,92,141465
4,2492,12,237320
4,2101,20,
4,2178,86,"$159,861"
4,2274,36,"$202,665"
4,2033,62,161057
4,2422,77,167123
4,1934,13,257845
3,2010,33,150456
2,1809,46,95688
5,,54,265449
5,3161,74,238155
4,2502,43,
2,960,61,60000
5,2824,86,172314
3,1881,53,143088
5,2425,37,270454
4,2291,46,207856
5,2659,20,298752
4,1928,75,137644
2,839,67,60000
3,1984,57,147332
3,2162,74,128346
